Fecha de partida;ELO;Color;Resultado
1/12/23;1661;Blanco;Victoria
1/12/23;1653;Negro;Derrota
1/12/23;1645;Blanco;Derrota
2/12/23;1645;Negro;Empate
2/12/23;1636;Negro;Derrota
4/12/23;1643;Blanco;Victoria
4/12/23;1635;Blanco;Derrota
4/12/23;1642;Negro;Victoria
5/12/23;1649;Blanco;Victoria
5/12/23;1656;Negro;Victoria
5/12/23;1649;Blanco;Derrota
6/12/23;1657;Blanco;Victoria
6/12/23;1665;Negro;Victoria
7/12/23;1657;Blanco;Derrota
7/12/23;1665;Negro;Victoria
7/12/23;1673;Blanco;Victoria
7/12/23;1665;Blanco;Derrota
7/12/23;1656;Negro;Derrota
7/12/23;1649;Negro;Derrota
7/12/23;1657;Blanco;Victoria
7/12/23;1656;Blanco;Empate
7/12/23;1664;Negro;Victoria
8/12/23;1657;Negro;Derrota
9/12/23;1649;Negro;Derrota
9/12/23;1641;Blanco;Derrota
10/12/23;1634;Blanco;Derrota
10/12/23;1642;Negro;Victoria
10/12/23;1650;Blanco;Victoria
10/12/23;1658;Negro;Victoria
10/12/23;1666;Blanco;Victoria
10/12/23;1673;Negro;Victoria
10/12/23;1665;Blanco;Derrota
11/12/23;1673;Negro;Victoria
11/12/23;1680;Blanco;Victoria
12/12/23;1672;Negro;Derrota
12/12/23;1663;Negro;Derrota
13/12/23;1671;Negro;Victoria
13/12/23;1679;Blanco;Victoria
13/12/23;1686;Blanco;Victoria
13/12/23;1696;Blanco;Victoria
13/12/23;1704;Negro;Victoria
13/12/23;1712;Negro;Victoria
13/12/23;1704;Blanco;Derrota
14/12/23;1695;Negro;Derrota
15/12/23;1688;Blanco;Derrota
15/12/23;1696;Blanco;Victoria
16/12/23;1691;Negro;Derrota
16/12/23;1683;Blanco;Derrota
16/12/23;1674;Negro;Derrota
17/12/23;1666;Negro;Derrota
17/12/23;1674;Blanco;Victoria
17/12/23;1666;Blanco;Derrota
18/12/23;1659;Blanco;Derrota
18/12/23;1652;Negro;Derrota
19/12/23;1644;Negro;Derrota
19/12/23;1637;Negro;Derrota
20/12/23;1646;Blanco;Victoria
20/12/23;1654;Negro;Victoria
20/12/23;1647;Negro;Derrota
20/12/23;1639;Blanco;Derrota
20/12/23;1647;Blanco;Victoria
20/12/23;1638;Blanco;Derrota
20/12/23;1639;Negro;Empate
21/12/23;1631;Negro;Derrota
21/12/23;1623;Blanco;Derrota
21/12/23;1616;Blanco;Derrota
22/12/23;1615;Blanco;Empate
22/12/23;1623;Negro;Victoria
23/12/23;1631;Negro;Victoria
23/12/23;1631;Blanco;Empate
23/12/23;1639;Negro;Victoria
23/12/23;1646;Negro;Victoria
24/12/23;1654;Blanco;Victoria
24/12/23;1662;Blanco;Victoria
24/12/23;1669;Blanco;Victoria
24/12/23;1661;Negro;Derrota
24/12/23;1652;Negro;Derrota
24/12/23;1643;Blanco;Derrota
24/12/23;1651;Negro;Victoria
24/12/23;1658;Negro;Victoria
24/12/23;1666;Blanco;Victoria
24/12/23;1660;Negro;Derrota
24/12/23;1652;Blanco;Derrota
25/12/23;1646;Blanco;Derrota
25/12/23;1654;Negro;Victoria
25/12/23;1646;Negro;Derrota
25/12/23;1655;Blanco;Victoria
25/12/23;1648;Negro;Derrota
25/12/23;1640;Negro;Derrota
25/12/23;1648;Blanco;Victoria
25/12/23;1641;Negro;Derrota
25/12/23;1634;Blanco;Derrota
25/12/23;1626;Blanco;Derrota
25/12/23;1633;Negro;Victoria
25/12/23;1641;Blanco;Victoria
25/12/23;1632;Negro;Derrota
25/12/23;1625;Blanco;Derrota
26/12/23;1616;Blanco;Derrota
26/12/23;1606;Negro;Derrota
26/12/23;1599;Blanco;Derrota
27/12/23;1590;Negro;Derrota
28/12/23;1598;Negro;Victoria
28/12/23;1589;Negro;Derrota
28/12/23;1582;Blanco;Derrota
29/12/23;1575;Negro;Derrota
30/12/23;1567;Blanco;Derrota
31/12/23;1559;Blanco;Derrota
3/1/24;1551;Negro;Derrota
3/1/24;1558;Negro;Victoria
3/1/24;1565;Blanco;Victoria
4/1/24;1573;Negro;Victoria
4/1/24;1581;Negro;Victoria
4/1/24;1589;Blanco;Victoria
4/1/24;1581;Blanco;Derrota
4/1/24;1573;Negro;Derrota
4/1/24;1564;Blanco;Derrota
4/1/24;1572;Negro;Victoria
4/1/24;1563;Blanco;Derrota
4/1/24;1556;Blanco;Derrota
4/1/24;1549;Negro;Derrota
4/1/24;1558;Negro;Victoria
5/1/24;1566;Blanco;Victoria
5/1/24;1574;Blanco;Victoria
5/1/24;1567;Blanco;Derrota
5/1/24;1558;Negro;Derrota
5/1/24;1567;Negro;Victoria
5/1/24;1576;Blanco;Victoria
5/1/24;1585;Negro;Victoria
5/1/24;1593;Blanco;Victoria
5/1/24;1600;Negro;Victoria
5/1/24;1607;Negro;Victoria
6/1/24;1615;Blanco;Victoria
6/1/24;1622;Blanco;Victoria
6/1/24;1614;Negro;Derrota
6/1/24;1624;Blanco;Victoria
6/1/24;1633;Negro;Victoria
6/1/24;1642;Negro;Victoria
6/1/24;1651;Blanco;Victoria
6/1/24;1659;Negro;Victoria
6/1/24;1652;Blanco;Derrota
6/1/24;1644;Negro;Derrota
6/1/24;1652;Blanco;Victoria
6/1/24;1644;Blanco;Derrota
6/1/24;1653;Negro;Victoria
6/1/24;1659;Blanco;Victoria
6/1/24;1666;Blanco;Victoria
6/1/24;1675;Negro;Victoria
6/1/24;1684;Blanco;Victoria
6/1/24;1693;Negro;Victoria
6/1/24;1685;Negro;Derrota
7/1/24;1693;Blanco;Victoria
7/1/24;1685;Negro;Derrota
7/1/24;1677;Blanco;Derrota
7/1/24;1668;Negro;Derrota
7/1/24;1659;Blanco;Derrota
7/1/24;1668;Blanco;Victoria
7/1/24;1660;Negro;Derrota
7/1/24;1668;Blanco;Victoria
7/1/24;1676;Negro;Victoria
;;;
;;;